# Video Name Mapping - Copy/paste video names from this file
# Format: Clip_Index | Video_Name | Mouse_ID | Frame_Range
# ================================================================================

00160 | org-3-uploads-stage.study_460.cage_4979.2025-09-04.05.45.mp4 | Mouse 0 | Frames 253-273
00161 | org-3-uploads-stage.study_460.cage_4979.2025-09-04.05.45.mp4 | Mouse 1 | Frames 933-963
00162 | org-3-uploads-stage.study_460.cage_4979.2025-09-05.05.54.mp4 | Mouse 0 | Frames 991-1006
00163 | org-3-uploads-stage.study_460.cage_4979.2025-09-05.10.40.mp4 | Mouse 2 | Frames 1146-1166
00164 | org-3-uploads-stage.study_460.cage_4979.2025-09-05.10.40.mp4 | Mouse 2 | Frames 1216-1236
00165 | org-3-uploads-stage.study_460.cage_4984.2025-09-03.05.37.mp4 | Mouse 0 | Frames 268-298
00166 | org-3-uploads-stage.study_460.cage_4984.2025-09-03.05.37.mp4 | Mouse 0 | Frames 446-456
00167 | org-3-uploads-stage.study_460.cage_4984.2025-09-03.05.37.mp4 | Mouse 0 | Frames 568-579
00168 | org-3-uploads-stage.study_460.cage_4984.2025-09-03.05.37.mp4 | Mouse 0 | Frames 691-701
00169 | org-3-uploads-stage.study_460.cage_4984.2025-09-03.05.37.mp4 | Mouse 0 | Frames 706-732
00170 | org-3-uploads-stage.study_460.cage_4986.2025-09-03.08.11.mp4 | Mouse 0 | Frames 568-595
00171 | org-3-uploads-stage.study_460.cage_4986.2025-09-03.08.11.mp4 | Mouse 0 | Frames 1055-1075
00172 | org-3-uploads-stage.study_460.cage_4986.2025-09-03.08.11.mp4 | Mouse 0 | Frames 1608-1628
00173 | org-3-uploads-stage.study_460.cage_4986.2025-09-03.08.11.mp4 | Mouse 2 | Frames 1735-1745
00174 | org-3-uploads-stage.study_460.cage_4986.2025-09-04.04.04.mp4 | Mouse 1 | Frames 1284-1305
00175 | org-3-uploads-stage.study_460.cage_4987.2025-09-03.23.23.mp4 | Mouse 2 | Frames 1030-1040
00176 | org-3-uploads-stage.study_470.cage_5026.2025-09-05.02.07.mp4 | Mouse 0 | Frames 399-419
00177 | org-3-uploads-stage.study_470.cage_5032.2025-09-05.10.11.mp4 | Mouse 2 | Frames 1509-1539
00178 | org-3-uploads-stage.study_470.cage_5032.2025-09-10.06.02.mp4 | Mouse 1 | Frames 1571-1591
00179 | org-3-uploads-stage.study_470.cage_5049.2025-09-09.00.30.mp4 | Mouse 0 | Frames 413-433
00180 | org-3-uploads-stage.study_470.cage_5049.2025-09-09.00.30.mp4 | Mouse 2 | Frames 360-390
00181 | org-3-uploads-stage.study_470.cage_5049.2025-09-09.00.30.mp4 | Mouse 2 | Frames 474-486
00182 | org-3-uploads-stage.study_476.cage_5056.2025-09-24.22.45.mp4 | Mouse 1 | Frames 141-161
00183 | org-3-uploads-stage.study_476.cage_5056.2025-09-24.22.45.mp4 | Mouse 1 | Frames 624-644
00184 | org-3-uploads-stage.study_476.cage_5056.2025-09-24.22.45.mp4 | Mouse 1 | Frames 1639-1659
00185 | org-3-uploads-stage.study_476.cage_5056.2025-09-24.22.45.mp4 | Mouse 1 | Frames 1737-1757
00186 | org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4 | Mouse 2 | Frames 697-717
00187 | org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4 | Mouse 2 | Frames 741-761
00188 | org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4 | Mouse 2 | Frames 1083-1103
00189 | org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4 | Mouse 2 | Frames 1227-1250
00190 | org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4 | Mouse 2 | Frames 1677-1697
00191 | org-3-uploads-stage.study_507.cage_5502.2025-10-15.22.32.mp4 | Mouse 0 | Frames 812-827
00192 | org-3-uploads-stage.study_507.cage_5502.2025-10-15.22.32.mp4 | Mouse 0 | Frames 1640-1680
00193 | org-3-uploads-stage.study_507.cage_5505.2025-10-16.16.07.mp4 | Mouse 1 | Frames 311-327
00194 | org-3-uploads-stage.study_507.cage_5505.2025-10-16.16.07.mp4 | Mouse 1 | Frames 389-399
00195 | org-3-uploads-stage.study_507.cage_5505.2025-10-16.16.07.mp4 | Mouse 1 | Frames 409-419
00196 | org-3-uploads-stage.study_507.cage_5505.2025-10-16.16.07.mp4 | Mouse 1 | Frames 1653-1676
00197 | org-3-uploads-stage.study_508.cage_5524.2025-10-15.22.36.mp4 | Mouse 0 | Frames 234-264
00198 | org-3-uploads-stage.study_508.cage_5524.2025-10-15.22.36.mp4 | Mouse 0 | Frames 464-484
00199 | org-9-uploads-stage.study_1013.cage_4988.2025-03-15.08.26.mp4 | Mouse 2 | Frames 172-192
00200 | org-9-uploads-stage.study_1013.cage_4995.2025-03-17.00.08.mp4 | Mouse 0 | Frames 204-234
00201 | org-9-uploads-stage.study_1013.cage_4995.2025-03-17.00.08.mp4 | Mouse 1 | Frames 487-507
00202 | org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.02.mp4 | Mouse 2 | Frames 1051-1070
00203 | org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4 | Mouse 0 | Frames 945-995
00204 | org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4 | Mouse 0 | Frames 1003-1023
00205 | org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4 | Mouse 2 | Frames 922-962
00206 | org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4 | Mouse 2 | Frames 974-994
00207 | org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.58.mp4 | Mouse 1 | Frames 1138-1178
00208 | org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.58.mp4 | Mouse 1 | Frames 1569-1583
00209 | org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.58.mp4 | Mouse 1 | Frames 1645-1660
00210 | org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.59.mp4 | Mouse 1 | Frames 400-410
00211 | org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.59.mp4 | Mouse 1 | Frames 543-556
00212 | org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.59.mp4 | Mouse 1 | Frames 864-872
00213 | org-9-uploads-stage.study_1174.cage_5991.2025-06-15.16.00.mp4 | Mouse 1 | Frames 198-205
00214 | org-9-uploads-stage.study_1174.cage_5991.2025-06-15.16.00.mp4 | Mouse 1 | Frames 901-921
00215 | org-9-uploads-stage.study_1174.cage_5991.2025-06-15.16.00.mp4 | Mouse 1 | Frames 965-985
00216 | org-9-uploads-stage.study_1174.cage_5991.2025-06-15.16.00.mp4 | Mouse 1 | Frames 1338-1348
00217 | org-9-uploads-stage.study_1174.cage_5991.2025-06-15.16.00.mp4 | Mouse 1 | Frames 1732-1739
00218 | org-9-uploads-stage.study_1174.cage_5991.2025-06-15.16.04.mp4 | Mouse 0 | Frames 1112-1120
00219 | org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4 | Mouse 0 | Frames 97-137
00220 | org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4 | Mouse 0 | Frames 1531-1550
00221 | org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4 | Mouse 1 | Frames 559-579
00222 | org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4 | Mouse 1 | Frames 1418-1458
00223 | org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4 | Mouse 2 | Frames 32-45
00224 | org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4 | Mouse 2 | Frames 98-125
