"bout_id","video_name","animal_id","start_frame","end_frame","behavior","duration_frames","cluster_id","cluster_method"
0,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",0,244,254,"turn_left",11,5,"kmeans"
1,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",0,381,401,"turn_left",21,5,"kmeans"
2,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",1,6,16,"turn_left",11,5,"kmeans"
3,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",1,906,916,"turn_left",11,5,"kmeans"
4,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",1,920,930,"turn_left",11,5,"kmeans"
5,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",2,368,379,"turn_left",12,5,"kmeans"
6,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",2,387,393,"turn_left",7,5,"kmeans"
7,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",2,514,524,"turn_left",11,1,"kmeans"
8,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",2,1098,1108,"turn_left",11,2,"kmeans"
9,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",2,1138,1158,"turn_left",21,1,"kmeans"
10,"org-3-uploads-stage.study_507.cage_5505.2025-10-16.16.07.mp4",1,311,327,"turn_left",17,2,"kmeans"
11,"org-3-uploads-stage.study_507.cage_5505.2025-10-16.16.07.mp4",1,389,399,"turn_left",11,2,"kmeans"
