"bout_id","video_name","animal_id","start_frame","end_frame","behavior","duration_frames","cluster_id","cluster_method"
205,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.59.mp4",1,864,872,"turn_left",9,1,"hierarchical"
206,"org-3-prod.study_443.cage_4823.2025-08-11.23.11.mp4",0,1770,1783,"turn_left",14,3,"hierarchical"
207,"org-3-prod.study_443.cage_4823.2025-08-11.23.11.mp4",2,672,692,"turn_left",21,2,"hierarchical"
208,"org-3-uploads-stage.study_447.cage_4840.2025-08-27.04.25.mp4",0,181,201,"turn_left",21,1,"hierarchical"
209,"org-3-uploads-stage.study_447.cage_4840.2025-08-27.04.25.mp4",0,538,550,"turn_left",13,1,"hierarchical"
210,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.58.mp4",1,1138,1178,"turn_left",41,1,"hierarchical"
211,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.58.mp4",1,1569,1583,"turn_left",15,1,"hierarchical"
212,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.58.mp4",1,1645,1660,"turn_left",16,1,"hierarchical"
213,"org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4",2,697,717,"turn_left",21,1,"hierarchical"
214,"org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4",2,741,761,"turn_left",21,1,"hierarchical"
215,"org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4",2,1083,1103,"turn_left",21,1,"hierarchical"
216,"org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4",2,1227,1250,"turn_left",24,1,"hierarchical"
217,"org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4",2,1677,1697,"turn_left",21,1,"hierarchical"
218,"org-3-prod.study_443.cage_4823.2025-08-11.23.10.mp4",0,109,139,"turn_left",31,2,"hierarchical"
220,"org-3-prod.study_443.cage_4823.2025-08-11.23.10.mp4",0,1685,1712,"turn_left",28,3,"hierarchical"
221,"org-3-uploads-stage.study_410.cage_4486.2025-08-02.08.55.mp4",2,73,93,"turn_left",21,1,"hierarchical"
222,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4",0,945,995,"turn_left",51,1,"hierarchical"
223,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4",0,1003,1023,"turn_left",21,1,"hierarchical"
224,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4",2,922,962,"turn_left",41,1,"hierarchical"
225,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4",2,974,994,"turn_left",21,1,"hierarchical"
226,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.02.mp4",2,1051,1070,"turn_left",20,1,"hierarchical"
227,"org-3-uploads-stage.study_448.cage_4868.2025-10-10.03.46.mp4",1,776,806,"turn_left",31,1,"hierarchical"
228,"org-3-uploads-stage.study_410.cage_4484.2025-07-14.16.12.mp4",1,170,200,"turn_left",31,1,"hierarchical"
229,"org-3-uploads-stage.study_410.cage_4484.2025-07-14.16.12.mp4",2,740,785,"turn_left",46,1,"hierarchical"
230,"org-3-uploads-stage.study_410.cage_4484.2025-07-14.16.12.mp4",2,1026,1045,"turn_left",20,1,"hierarchical"
231,"org-3-uploads-stage.study_410.cage_4484.2025-07-14.16.12.mp4",2,1050,1071,"turn_left",22,1,"hierarchical"
232,"org-3-uploads-stage.study_450.cage_4907.2025-08-20.00.11.mp4",0,540,560,"turn_left",21,1,"hierarchical"
233,"org-3-uploads-stage.study_450.cage_4907.2025-08-20.00.11.mp4",0,599,629,"turn_left",31,1,"hierarchical"
234,"org-3-uploads-stage.study_428.cage_4507.2025-07-13.05.44.mp4",2,12,32,"turn_left",21,1,"hierarchical"
235,"org-3-uploads-stage.study_428.cage_4507.2025-07-13.05.44.mp4",2,66,76,"turn_left",11,1,"hierarchical"
236,"org-3-uploads-stage.study_428.cage_4507.2025-07-13.05.44.mp4",2,922,932,"turn_left",11,1,"hierarchical"
237,"org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4",0,1426,1451,"turn_left",26,1,"hierarchical"
238,"org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4",2,136,156,"turn_left",21,1,"hierarchical"
239,"org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4",2,185,199,"turn_left",15,1,"hierarchical"
240,"org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4",2,383,403,"turn_left",21,1,"hierarchical"
241,"org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4",2,406,426,"turn_left",21,1,"hierarchical"
242,"org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4",2,449,469,"turn_left",21,1,"hierarchical"
